1883;s01;Paramount
1923;s01;Paramount
abbott_elementary;s01;Disney_ABC
alaska_daily;s01;Disney_ABC
altered_carbon;s02;Netflix
american_born_chinese;s01;Disney
american_horror_stories;s01;Hulu
american_horror_stories;s02;Hulu
andor;s01;Disney
arcane_league_of_legends;s01;Netflix
arrow;s08;CW
avenue_5;s01;HBO
bad_sisters;s01;Apple
barry;s02;HBO
barry;s03;HBO
barry;s04;HBO
batwoman;s01;CW
batwoman;s02;CW
beef;s01;Netflix
bel_air;s01;Peacock_NBCUniversal
big_little_lies;s02;HBO
big_mouth;s03;Netflix
big_mouth;s04;Netflix
big_sky;s01;Disney_ABC
black_bird;s01;Apple
black_mirror;s05;Netflix
bless_this_mess;s01;Disney_ABC
bluff_city_law;s01;Peacock_NBCUniversal
brave_new_world;s01;Peacock_NBCUniversal
bridgerton;s01;Netflix
bridgerton;s02;Netflix
bupkis;s01;Peacock_NBCUniversal
cabinet_of_curiosities;s01;Netflix
carnival_row;s01;Amazon
carnival_row;s02;Amazon
castle_rock;s02;Hulu
chernobyl;s01;HBO
citadel;s01;Amazon
class_of_07;s01;Amazon
cobra_kai;s02;Netflix
cobra_kai;s03;Netflix
cobra_kai;s04;Netflix
cobra_kai;s05;Netflix
dan_browns_the_lost_symbol;s01;Peacock_NBCUniversal
dcs_legends_of_tomorrow;s05;CW
dead_ringers_2023;s01;Amazon
debris;s01;Peacock_NBCUniversal
designated_survivor;s03;Netflix
devs;s01;Hulu
dickinson;s01;Apple
dollface;s01;Hulu
doom_patrol;s01;HBO
doom_patrol;s02;HBO
doom_patrol;s03;HBO
dopesick;s01;Hulu
echo_3;s01;Apple
emergence;s01;Disney_ABC
emily_in_paris;s01;Netflix
emily_in_paris;s02;Netflix
emily_in_paris;s03;Netflix
euphoria;s01;HBO
euphoria;s02;HBO
evil;s01;Paramount
fleishman_is_in_trouble;s01;Hulu
for_all_mankind;s01;Apple
for_all_mankind;s02;Apple
for_all_mankind;s03;Apple
foundation;s01;Apple
four_weddings_and_a_funeral;s01;Hulu
fubar;s01;Netflix
game_of_thrones;s08;HBO
ginny_and_georgia;s01;Netflix
ginny_and_georgia;s02;Netflix
goliath;s03;Amazon
good_girls;s02;Peacock_NBCUniversal
gotham_knights;s01;CW
halo;s01;Paramount
hanna;s01;Amazon
hanna;s02;Amazon
harley_quinn;s01;HBO
harley_quinn;s02;HBO
hawkeye;s01;Disney
heartbreak_high_2022;s01;Netflix
heartstopper;s01;Netflix
he_man_and_the_masters_of_the_universe_2021;s01;Netflix
high_fidelity;s01;Hulu
high_school_musical_the_musical;s01;Disney
high_school_musical_the_musical;s03;Disney
his_dark_materials;s01;HBO
his_dark_materials;s02;HBO
his_dark_materials;s03;HBO
home_before_dark;s01;Apple
homecoming;s02;Amazon
house_of_the_dragon;s01;HBO
how_i_met_your_father;s01;Hulu
how_i_met_your_father;s02;Hulu
hunters-2020;s01;Amazon
hunters-2020;s02;Amazon
i_am_groot;s01;Disney
icarly_2021;s01;Paramount
i_know_this_much_is_true;s01;HBO
in_the_dark_2019;s01;CW
invasion_2021;s01;Apple
invincible;s01;Amazon
jack_ryan;s02;Amazon
jack_ryan;s03;Amazon
la_brea;s01;Peacock_NBCUniversal
life_and_beth;s01;Hulu
little_fires_everywhere;s01;Hulu
loki;s01;Disney
looking_for_alaska;s01;Hulu
loot;s01;Apple
lovecraft_country;s01;HBO
love_death_robots;s01;Netflix
love_death_robots;s02;Netflix
love_death_robots;s03;Netflix
love_victor;s01;Hulu
love_victor;s02;Hulu
manifest;s02;Peacock_NBCUniversal
manifest;s03;Peacock_NBCUniversal
manifest;s04;Peacock_NBCUniversal
marvels_agents_of_shield;s06;Disney_ABC
marvels_agents_of_shield;s07;Disney_ABC
marvels_helstrom;s01;Hulu
marvels_modok;s01;Hulu
mayor_of_kingstown;s01;Paramount
modern_love;s01;Amazon
moon_knight;s01;Disney
mrs_america;s01;Hulu
mrs_davis;s01;Peacock_NBCUniversal
ms_marvel;s01;Disney
mythic_quest;s01;Apple
nancy_drew;s01;CW
national_treasure_edge_of_history;s01;Disney
night_court_2023;s01;Peacock_NBCUniversal
night_sky;s01;Amazon
nine_perfect_strangers;s01;Hulu
not_dead_yet;s01;Disney_ABC
obi_wan_kenobi;s01;Disney
only_murders_in_the_building;s01;Hulu
only_murders_in_the_building;s02;Hulu
orange_is_the_new_black;s07;Netflix
orville;s03;Hulu
outer_banks;s01;Netflix
outer_banks;s02;Netflix
outer_banks;s03;Netflix
outer_range;s01;Amazon
pam_and_tommy;s01;Hulu
paper_girls;s01;Amazon
peacemaker_2022;s01;HBO
perry_mason_2020;s01;HBO
poker_face;s01;Peacock_NBCUniversal
quantum_leap_2022;s01;Peacock_NBCUniversal
rabbit_hole;s01;Paramount
raised_by_wolves_2020;s01;HBO
raised_by_wolves_2020;s02;HBO
ramy;s01;Hulu
reacher;s01;Amazon
reboot_2022;s01;Hulu
reprisal;s01;Hulu
reservation_dogs;s01;Hulu
riverdale;s04;CW
riverdale;s05;CW
riverdale;s06;CW
roswell_new_mexico;s01;CW
santa_inc;s01;HBO
see;s01;Apple
see;s02;Apple
servant;s01;Apple
severance;s01;Apple
sex_education;s01;Netflix
sex_education;s03;Netflix
shadow_and_bone;s01;Netflix
shadow_and_bone;s02;Netflix
shantaram;s01;Apple
she_hulk_attorney_at_law;s01;Disney
shrill;s01;Hulu
shrinking;s01;Apple
silo;s01;Apple
slow_horses;s01;Apple
solar_opposites;s01;Hulu
solos;s01;Amazon
stargirl;s01;CW
star_trek_discovery;s02;Paramount
star_trek_discovery;s03;Paramount
star_trek_discovery;s04;Paramount
star_trek_lower_decks;s01;Paramount
star_trek_lower_decks;s02;Paramount
star_trek_picard;s01;Paramount
star_trek_picard;s02;Paramount
star_trek_picard;s03;Paramount
star_trek_prodigy;s01;Paramount
star_trek_strange_new_worlds;s01;Paramount
star_wars_tales_of_the_jedi;s01;Disney
star_wars_the_bad_batch;s01;Disney
star_wars_the_bad_batch;s02;Disney
star-wars-the-clone-wars;s07;Disney
star_wars_visions;s01;Disney
star_wars_visions;s02;Disney
stranger_things;s03;Netflix
stranger_things;s04;Netflix
stumptown;s01;Disney_ABC
succession;s02;HBO
succession;s03;HBO
succession;s04;HBO
supergirl;s05;CW
supergirl;s06;CW
superman_and_lois;s01;CW
supernatural;s15;CW
suspicion;s01;Apple
swarm;s01;Amazon
sweet-magnolias;s01;Netflix
sweet_tooth;s01;Netflix
sweet_tooth;s02;Netflix
tales_from_the_loop;s01;Amazon
that_90s_show;s01;Netflix
the_100;s06;CW
the_100;s07;CW
the_act;s01;Hulu
the_ark;s01;Peacock_NBCUniversal
the_baker_and_the_beauty;s01;Disney_ABC
the_bear;s01;Hulu
the_big_door_prize;s01;Apple
the_book_of_boba_fett;s01;Disney
the_boys_2019;s01;Amazon
the_boys_2019;s02;Amazon
the_boys_2019;s03;Amazon
the_company_you_keep;s01;Disney_ABC
the_consultant;s01;Amazon
the_crowded_room;s01;Apple
the_crown;s03;Netflix
the_crown;s04;Netflix
the_crown;s05;Netflix
the_cuphead_show;s01;Netflix
the_devils_hour;s01;Amazon
the_diplomat;s01;Netflix
the_dragon_prince;s03;Netflix
the_dragon_prince;s04;Netflix
the_dropout;s01;Hulu
the_endgame;s01;Peacock_NBCUniversal
the_enemy_within;s01;Peacock_NBCUniversal
the_falcon_and_the_winter_soldier;s01;Disney
the_flash;s06;CW
the_flash;s07;CW
the_flash;s08;CW
the_flash;s09;CW
the_gilded_age;s01;HBO
the_great;s01;Hulu
the_handmaids_tale;s03;Hulu
the_handmaids_tale;s04;Hulu
the_handmaids_tale;s05;Hulu
the_idol;s01;HBO
the_last_of_us;s01;HBO
the_last_thing_he_told_me;s01;Apple
the_legend_of_vox_machina;s01;Amazon
the_legend_of_vox_machina;s02;Amazon
the_lord_of_the_rings_the_rings_of_power;s01;Amazon
the_mandalorian;s01;Disney
the_mandalorian;s02;Disney
the_mandalorian;s03;Disney
the_man_in_the_high_castle;s04;Amazon
the_marvelous_mrs_maisel;s03;Amazon
the_marvelous_mrs_maisel;s04;Amazon
the_morning_show;s01;Apple
the_morning_show;s02;Apple
the_mosquito_coast;s01;Apple
them;s01;Amazon
the_mysterious_benedict_society;s01;Disney
the_nevers;s01;HBO
the_new_pope;s01;HBO
the_night_agent;s01;Netflix
the_offer;s01;Paramount
the_old_man;s01;Hulu
the_outsider;s01;HBO
the_patient;s01;Hulu
the_peripheral;s01;Amazon
the_power;s01;Amazon
the_prince;s01;HBO
the_proud_family_louder_and_prouder;s01;Disney
the_proud_family_louder_and_prouder;s02;Disney
the_recruit;s01;Netflix
the_resort;s01;Peacock_NBCUniversal
the_righteous_gemstones;s01;HBO
the_rig;s01;Amazon
the_rookie_feds;s01;Disney_ABC
the_sandman;s01;Netflix
the_santa_clauses;s01;Disney
the_stand_2020;s01;Paramount
the_terminal_list;s01;Amazon
the_thing_about_pam;s01;Peacock_NBCUniversal
the_tick;s02;Amazon
the_twilight_zone_2019;s01;Paramount
the_umbrella_academy;s01;Netflix
the_umbrella_academy;s02;Netflix
the_umbrella_academy;s03;Netflix
the_underground_railroad;s01;Amazon
the_undoing;s01;HBO
the_watcher;s01;Netflix
the_wheel_of_time;s01;Amazon
the_white_lotus;s01;HBO
the_white_lotus;s02;HBO
the_wilds;s01;Amazon
the_wilds;s02;Amazon
the_witcher_blood_origin;s01;Netflix
the_witcher;s01;Netflix
the_witcher;s02;Netflix
the_wonder_years_2021;s01;Disney_ABC
three_pines;s01;Amazon
transformers_earthspark;s01;Paramount
tulsa_king;s01;Paramount
under_the_banner_of_heaven;s01;Hulu
undone;s01;Amazon
unstable;s01;Netflix
upload;s01;Amazon
upload;s02;Amazon
vampire_academy;s01;Peacock_NBCUniversal
velma;s01;HBO
virgin_river;s01;Netflix
wandavision;s01;Disney
warrior_2019;s01;HBO
watchmen;s01;HBO
wecrashed;s01;Apple
wednesday;s01;Netflix
westworld;s03;HBO
westworld;s04;HBO
what_if_;s01;Disney
whiskey_cavalier;s01;Disney_ABC
white_house_plumbers;s01;HBO
why_women_kill;s01;Paramount
willow;s01;Disney
will_trent;s01;Disney_ABC
wolf_like_me;s01;Peacock_NBCUniversal
wolf_pack;s01;Paramount
wu_tang_an_american_saga;s01;Hulu
yellowstone;s02;Paramount
yellowstone;s03;Paramount
yellowstone;s04;Paramount
yellowstone;s05;Paramount
you;s02;Netflix
you;s03;Netflix
you;s04;Netflix
y_the_last_man;s01;Hulu
zoey_s_extraordinary_playlist;s01;Peacock_NBCUniversal
